Model Number,Name,Model,Color,Manufacturing Company,Additional Features,Mileage,Engine CC,Price,Reviews
5YDWIXAE,A6,2011,Blue,Suzuki,Backup Camera; Lane Departure Warning; Leather Seats; Bluetooth; Sunroof; Premium Sound System; Navigation System; Blind Spot Monitoring,29.1,3259.1,37960.24,4.8
3MZ92VSC,Grand Cherokee,2018,Gray,Chevrolet,Sunroof; Premium Sound System; Adaptive Cruise Control; Blind Spot Monitoring; Backup Camera,15.6,3423.3,21467.03,4.2
TD9Q7DP2,Edge,2012,Yellow,Chevrolet,Sunroof; Backup Camera; Premium Sound System; Navigation System; Bluetooth; Lane Departure Warning,12.8,4715.0,22415.74,4.2
LRGNQQN2,F-250,2014,Red,Audi,Adaptive Cruise Control; Premium Sound System; Blind Spot Monitoring; Navigation System; Leather Seats,16.5,2761.7,77390.15,4.3
IKCWU8Z2,Fusion,2022,Yellow,Chevrolet,Sunroof; Leather Seats; Premium Sound System; Blind Spot Monitoring; Lane Departure Warning,17.7,3349.8,41116.6,4.2
PE5E4LH1,Mustang,2011,Black,Chevrolet,Premium Sound System; Sunroof; Lane Departure Warning; Leather Seats,10.2,4141.0,55972.29,3.4
PDOY28KH,Q5,2018,Green,Audi,Blind Spot Monitoring; Sunroof; Lane Departure Warning; Leather Seats; Navigation System; Bluetooth; Premium Sound System,18.5,1771.1,43949.78,4.1
0X1LDI55,Charger,2015,Red,Suzuki,Premium Sound System; Sunroof,20.6,1416.7,76877.14,3.7
6APKRMXG,4Runner,2015,Silver,Suzuki,Adaptive Cruise Control; Backup Camera; Premium Sound System; Bluetooth; Blind Spot Monitoring,19.1,4542.6,71672.24,3.2
28HU0LKA,GLC,2014,Orange,BMW,Bluetooth; Navigation System; Blind Spot Monitoring; Sunroof; Backup Camera; Premium Sound System; Leather Seats; Lane Departure Warning; Adaptive Cruise Control,29.5,1301.2,28184.66,3.4
H0E86QFY,Golf,2019,Red,Rolls-Royce,Navigation System; Backup Camera; Bluetooth,11.1,4505.7,79374.63,3.2
E0W1U95B,Pilot,2010,Green,Audi,Premium Sound System; Sunroof; Navigation System; Blind Spot Monitoring; Lane Departure Warning; Adaptive Cruise Control; Backup Camera,23.2,2194.1,33513.82,3.0
JSL7RPUK,Golf,2014,Black,Suzuki,Backup Camera,20.1,1610.6,75371.7,3.4
SDPP0MZH,A4,2011,Black,Chevrolet,Adaptive Cruise Control; Lane Departure Warning; Backup Camera; Bluetooth,17.8,2592.9,39578.82,3.3
O45EHNSE,X5,2021,Red,BMW,Sunroof; Lane Departure Warning; Leather Seats,18.5,1032.5,20499.83,4.2
7ULQN7GZ,Gladiator,2019,Red,Mitsubishi,Bluetooth; Backup Camera; Sunroof; Adaptive Cruise Control; Lane Departure Warning; Blind Spot Monitoring,29.1,4271.6,58622.72,5.0
LZJ1XYA8,Pacifica,2013,Yellow,Suzuki,Bluetooth,15.4,2041.9,49239.35,4.3
1L12HD9E,Gladiator,2019,Red,Chevrolet,Leather Seats; Adaptive Cruise Control; Navigation System; Sunroof; Lane Departure Warning,16.8,1642.0,54177.52,3.7
RRUL48QY,C-Class,2018,Silver,Rolls-Royce,Bluetooth; Lane Departure Warning; Leather Seats; Sunroof,21.9,1877.2,66930.16,4.3
F040ASYW,Forester,2013,Gray,BMW,Leather Seats; Bluetooth; Backup Camera; Sunroof; Adaptive Cruise Control,14.7,4687.3,69655.98,3.1
UID0M9JH,Civic,2010,Black,BMW,Adaptive Cruise Control; Bluetooth; Leather Seats,23.8,1032.4,38180.59,4.8
W1SBNVLD,Murano,2014,Gray,BMW,Blind Spot Monitoring,21.6,2353.6,63768.94,5.0
7BFIRR7P,CR-V,2017,Yellow,Mitsubishi,Backup Camera; Sunroof; Leather Seats; Bluetooth; Premium Sound System,16.1,1915.2,78327.58,4.4
09U08WGA,F-150,2011,Red,BMW,Lane Departure Warning; Backup Camera; Blind Spot Monitoring; Adaptive Cruise Control; Navigation System,17.6,4234.5,45288.94,4.2
CBHXKNUM,Edge,2010,White,Suzuki,Premium Sound System; Lane Departure Warning; Sunroof; Navigation System; Leather Seats; Adaptive Cruise Control,12.7,3302.7,69698.47,4.8
PRWV0BVT,Bronco,2018,Black,Suzuki,Blind Spot Monitoring,22.3,4035.1,48749.06,4.9
63VH054M,Tacoma,2012,Blue,Chevrolet,Navigation System; Blind Spot Monitoring,28.6,4861.9,49336.9,3.2
488OP3J5,Edge,2018,Black,Suzuki,Backup Camera; Adaptive Cruise Control; Leather Seats; Blind Spot Monitoring,29.7,4950.3,21705.74,3.3
DB26VNJ1,Gladiator,2012,Silver,Audi,Backup Camera,27.2,4455.5,51489.04,3.2
BZZA1HPJ,Touareg,2021,Gray,Audi,Lane Departure Warning; Sunroof; Premium Sound System; Leather Seats; Navigation System; Adaptive Cruise Control; Blind Spot Monitoring; Backup Camera,12.0,4140.4,70682.44,3.9
TMJJ7TE4,Durango,2021,Red,Audi,Premium Sound System; Navigation System; Adaptive Cruise Control,29.0,4264.5,47327.53,3.2
SWRNNHD5,Stinger,2010,Green,Rolls-Royce,Blind Spot Monitoring; Premium Sound System; Navigation System; Bluetooth; Lane Departure Warning; Backup Camera,17.8,1444.9,23302.51,4.7
B22NCYJV,Beetle,2015,Gray,Mitsubishi,Bluetooth; Blind Spot Monitoring; Lane Departure Warning,29.2,2795.1,48274.85,4.8
PB5MO2DE,Land Cruiser,2012,Yellow,Audi,Adaptive Cruise Control; Blind Spot Monitoring,11.5,1852.2,38288.75,3.3
28Y1LN7J,Passat,2016,Green,Chevrolet,Leather Seats; Premium Sound System; Lane Departure Warning,23.6,4399.8,33192.1,3.6
R5YRUYW0,4Runner,2021,Black,Chevrolet,Backup Camera; Navigation System; Adaptive Cruise Control; Premium Sound System,12.4,4903.8,41680.48,3.1
7M9C3U2O,Tiguan,2022,Blue,Suzuki,Sunroof; Premium Sound System; Blind Spot Monitoring,15.0,2504.0,39946.49,3.1
AS6V37W0,Wrangler,2022,Silver,Rolls-Royce,Sunroof; Backup Camera; Navigation System; Leather Seats; Premium Sound System; Blind Spot Monitoring; Adaptive Cruise Control,22.3,4475.0,28727.59,4.4
7TO1K760,Jetta,2014,Red,Mitsubishi,Premium Sound System; Leather Seats; Bluetooth; Adaptive Cruise Control; Backup Camera; Sunroof; Blind Spot Monitoring; Lane Departure Warning; Navigation System,25.0,2658.7,49772.82,4.7
AUDJE1BZ,Leaf,2017,Orange,Rolls-Royce,Navigation System; Premium Sound System; Blind Spot Monitoring; Leather Seats; Bluetooth; Adaptive Cruise Control; Backup Camera; Sunroof; Lane Departure Warning,18.8,2514.3,48488.96,3.9
CWJASLEH,F-350,2013,Silver,Audi,Adaptive Cruise Control; Leather Seats; Backup Camera; Sunroof; Navigation System; Bluetooth,17.4,1741.5,25631.24,4.0
VSUQALMK,Beetle,2010,Yellow,Rolls-Royce,Sunroof; Lane Departure Warning; Leather Seats; Bluetooth; Backup Camera; Adaptive Cruise Control; Premium Sound System,13.1,1108.3,77602.47,3.5
83MP6K6K,Highlander,2016,Black,Mitsubishi,Navigation System; Blind Spot Monitoring; Adaptive Cruise Control,23.9,3908.1,20892.26,4.6
35V5WR3E,Expedition,2015,Gray,BMW,Navigation System; Backup Camera,11.3,3524.1,73454.5,3.4
K9SBGTBG,Gladiator,2011,Red,Suzuki,Lane Departure Warning; Leather Seats; Backup Camera; Navigation System; Adaptive Cruise Control; Blind Spot Monitoring; Premium Sound System,21.8,1631.5,62650.32,3.6
HF6E621I,Ascent,2015,Gray,Audi,Lane Departure Warning,16.1,1598.8,36381.48,3.4
7W762MVR,Edge,2018,Silver,Mitsubishi,Bluetooth; Blind Spot Monitoring; Navigation System,14.1,2002.5,27375.67,4.2
QHBZLC05,Edge,2012,White,BMW,Bluetooth; Backup Camera; Premium Sound System; Blind Spot Monitoring; Adaptive Cruise Control; Navigation System,23.2,2348.6,29988.73,3.0
P4DDPV9K,Durango,2021,Red,Suzuki,Sunroof,23.9,4424.8,50137.73,3.2
GGK8800W,Pilot,2016,Blue,Audi,Sunroof,20.1,1081.3,70908.98,3.5
UD1BBCCH,Golf,2018,Black,Suzuki,Premium Sound System; Backup Camera; Lane Departure Warning; Sunroof; Bluetooth; Leather Seats; Blind Spot Monitoring; Adaptive Cruise Control; Navigation System,26.8,2023.3,73377.51,3.5
BYS0VUFZ,Yaris,2011,Red,Audi,Premium Sound System; Lane Departure Warning,23.5,3813.1,76607.72,4.0
A0SAP82P,Compass,2018,Silver,BMW,Adaptive Cruise Control; Sunroof; Premium Sound System; Bluetooth; Lane Departure Warning; Backup Camera,25.6,2270.6,57067.09,4.2
LBPV4J1E,Golf,2021,Silver,Chevrolet,Leather Seats; Bluetooth; Lane Departure Warning; Premium Sound System,16.1,2750.5,52399.23,3.9
68CCOK7F,Ascent,2012,Gray,Mitsubishi,Blind Spot Monitoring; Sunroof; Lane Departure Warning; Premium Sound System; Navigation System; Adaptive Cruise Control; Leather Seats; Bluetooth,19.4,1281.8,72801.11,3.0
8MX9VRSK,C-Class,2013,Black,Audi,Leather Seats; Navigation System; Backup Camera; Sunroof,28.0,1685.6,61873.15,3.3
X0MM3JS6,Forester,2016,Black,Mitsubishi,Bluetooth; Backup Camera; Leather Seats; Sunroof; Premium Sound System; Lane Departure Warning; Adaptive Cruise Control,10.4,2362.6,66595.53,4.3
R4NS6JFD,F-350,2020,Green,Audi,Backup Camera; Blind Spot Monitoring; Premium Sound System; Adaptive Cruise Control; Navigation System; Leather Seats,28.9,1153.4,53794.08,4.4
KYOYN1TW,Tacoma,2014,Silver,Chevrolet,Navigation System; Premium Sound System; Sunroof; Lane Departure Warning; Bluetooth; Blind Spot Monitoring,27.4,1955.4,67257.61,3.0
1XWKJJ91,WRX,2011,Black,BMW,Bluetooth; Navigation System; Blind Spot Monitoring; Adaptive Cruise Control; Backup Camera; Sunroof; Leather Seats,23.2,4384.7,34756.98,4.8
2TDVL1ZR,Durango,2020,Blue,Rolls-Royce,Blind Spot Monitoring; Sunroof; Backup Camera; Navigation System; Lane Departure Warning; Premium Sound System; Bluetooth; Adaptive Cruise Control; Leather Seats,20.9,1360.9,31241.46,3.8
7ONHN3GX,Highlander,2012,Gray,Audi,Blind Spot Monitoring; Adaptive Cruise Control; Bluetooth; Sunroof; Leather Seats; Lane Departure Warning; Backup Camera; Navigation System,14.8,2494.6,71250.81,4.7
FP1PRIK4,Explorer,2015,Black,Chevrolet,Leather Seats; Lane Departure Warning; Navigation System; Adaptive Cruise Control; Blind Spot Monitoring; Sunroof; Premium Sound System; Bluetooth,16.9,4207.9,53733.34,4.8
BMR4A134,X5,2013,Red,Audi,Adaptive Cruise Control; Premium Sound System; Backup Camera; Sunroof; Blind Spot Monitoring,18.3,4433.5,72852.27,4.9
OG6H2Y1P,CX-5,2011,Red,Audi,Premium Sound System; Sunroof; Adaptive Cruise Control; Blind Spot Monitoring; Navigation System; Bluetooth; Backup Camera; Leather Seats; Lane Departure Warning,24.5,2070.2,59129.59,4.8
MMC9TWBQ,Beetle,2020,Yellow,Audi,Sunroof; Lane Departure Warning,13.8,4481.9,46195.56,4.2
TPRRRW0H,Explorer,2020,Orange,Audi,Adaptive Cruise Control; Premium Sound System; Sunroof; Leather Seats; Backup Camera; Lane Departure Warning; Blind Spot Monitoring,27.6,3221.9,51244.78,3.8
Y1MLDJ30,Avalon,2010,Orange,Rolls-Royce,Sunroof; Lane Departure Warning; Bluetooth; Backup Camera,20.8,2953.7,51964.86,3.8
8JQ80ZTL,Bronco,2010,Blue,BMW,Backup Camera; Lane Departure Warning; Adaptive Cruise Control; Leather Seats; Navigation System; Sunroof; Bluetooth; Premium Sound System,29.2,2382.3,35800.3,3.3
D17MU2AH,Outback,2014,Silver,Mitsubishi,Blind Spot Monitoring,26.1,2415.4,24252.66,3.1
06RT9HKM,RAV4,2013,Gray,BMW,Bluetooth; Backup Camera; Navigation System; Sunroof; Adaptive Cruise Control,15.5,3982.1,78384.96,3.7
HU0KJ8LO,F-150,2015,Black,Rolls-Royce,Leather Seats; Sunroof; Blind Spot Monitoring; Navigation System; Bluetooth; Premium Sound System; Adaptive Cruise Control,20.9,3608.2,61998.53,3.3
P8U8X7GN,Escape,2016,Red,Rolls-Royce,Backup Camera; Navigation System; Blind Spot Monitoring; Bluetooth; Leather Seats; Adaptive Cruise Control,14.5,2243.2,52109.32,3.1
JFJ1E3AV,Beetle,2016,Black,BMW,Lane Departure Warning; Bluetooth; Sunroof; Leather Seats; Backup Camera; Adaptive Cruise Control,20.8,4535.2,59230.38,3.0
E2VAWQOH,Avalon,2022,Black,Mitsubishi,Premium Sound System; Lane Departure Warning; Blind Spot Monitoring; Adaptive Cruise Control; Navigation System,27.0,3689.2,35102.78,4.3
OX7PXHHI,Golf,2012,Yellow,BMW,Lane Departure Warning; Backup Camera,12.2,3799.1,62631.24,5.0
Z4FZDZLE,Durango,2021,Silver,BMW,Bluetooth; Navigation System; Premium Sound System; Sunroof,11.5,2076.3,27470.94,4.0
2JEH9DH9,Ram 1500,2013,Blue,Suzuki,Navigation System; Bluetooth; Blind Spot Monitoring; Sunroof; Premium Sound System; Adaptive Cruise Control; Lane Departure Warning; Leather Seats; Backup Camera,26.7,2931.3,32719.26,5.0
9MLK7GMR,CX-5,2021,Green,Rolls-Royce,Navigation System; Bluetooth; Sunroof,25.7,3625.6,49357.26,3.4
066NJBN2,Sienna,2021,Green,Mitsubishi,Lane Departure Warning; Premium Sound System; Navigation System,11.9,4699.2,55619.26,3.9
16RCME7M,Compass,2022,White,BMW,Lane Departure Warning,23.5,1790.4,49921.42,4.9
BRAOO0HQ,Fit,2011,Red,Chevrolet,Premium Sound System; Leather Seats; Bluetooth,29.4,4031.2,78173.7,3.9
GT3B6WIK,Legacy,2022,Red,Suzuki,Leather Seats; Backup Camera; Navigation System; Adaptive Cruise Control; Blind Spot Monitoring; Premium Sound System; Bluetooth; Sunroof; Lane Departure Warning,19.3,3606.9,57479.56,5.0
EF14GCNI,Legacy,2013,Silver,Audi,Premium Sound System; Lane Departure Warning; Navigation System; Sunroof; Adaptive Cruise Control,24.4,4945.7,46958.39,3.1
M6ZVI6XO,Fiesta,2014,Gray,Rolls-Royce,Premium Sound System; Leather Seats; Adaptive Cruise Control; Bluetooth; Navigation System; Blind Spot Monitoring,15.7,2025.7,55225.26,3.9
X9X7IK4C,Renegade,2011,Silver,Mitsubishi,Premium Sound System; Sunroof; Blind Spot Monitoring; Bluetooth; Adaptive Cruise Control; Lane Departure Warning,10.3,3554.3,31603.23,4.0
175BQJHJ,Bronco,2017,Yellow,Mitsubishi,Blind Spot Monitoring; Navigation System; Sunroof; Premium Sound System; Lane Departure Warning; Leather Seats; Bluetooth; Backup Camera,12.2,1050.9,66449.93,3.5
LPGLEZFE,Sienna,2014,Yellow,Suzuki,Sunroof; Backup Camera; Lane Departure Warning; Bluetooth; Adaptive Cruise Control; Premium Sound System; Navigation System; Leather Seats; Blind Spot Monitoring,13.5,3454.2,48556.23,4.9
GU7WGOAS,Corolla,2011,Silver,Audi,Lane Departure Warning; Premium Sound System; Bluetooth; Leather Seats; Sunroof; Backup Camera; Adaptive Cruise Control,12.0,1859.6,38995.6,3.4
DGVD1G39,Gladiator,2013,Black,Suzuki,Navigation System; Backup Camera; Leather Seats; Sunroof; Bluetooth; Adaptive Cruise Control; Premium Sound System,19.4,3635.0,21256.76,4.6
K4KWMKN5,Tundra,2010,Yellow,Chevrolet,Premium Sound System; Adaptive Cruise Control,23.4,1228.6,22923.53,4.3
VOZOW27D,Maxima,2011,Black,Audi,Adaptive Cruise Control; Backup Camera; Blind Spot Monitoring; Lane Departure Warning,14.6,2737.1,68484.79,3.6
UA5B5ADJ,Tundra,2015,Green,Mitsubishi,Navigation System; Premium Sound System; Leather Seats,16.9,4932.2,37737.44,4.4
M4S46JNU,E-Class,2017,Silver,Rolls-Royce,Leather Seats; Sunroof; Blind Spot Monitoring; Adaptive Cruise Control,16.8,1298.8,34255.06,4.7
2IEKA4HM,Fiesta,2012,Red,Suzuki,Leather Seats; Backup Camera; Blind Spot Monitoring,14.2,4657.9,42558.82,4.1
U8QUR9OA,Altima,2018,Blue,Rolls-Royce,Leather Seats; Backup Camera; Premium Sound System; Sunroof,24.3,2482.7,60847.84,4.2
0LMN38V0,Sienna,2022,Blue,Audi,Lane Departure Warning; Navigation System; Adaptive Cruise Control; Backup Camera; Leather Seats; Sunroof; Blind Spot Monitoring; Premium Sound System,23.6,2368.7,54470.07,3.5
X057TK9D,Ram 1500,2012,Blue,Suzuki,Blind Spot Monitoring,22.2,3676.9,37854.7,4.3
S0RXYEWK,Yaris,2015,Orange,Chevrolet,Backup Camera; Sunroof; Leather Seats; Navigation System; Lane Departure Warning,12.1,2339.4,22073.57,4.5
1NLE5JZ9,Fortuner,2021,Gray,Suzuki,Leather Seats; Backup Camera; Navigation System; Sunroof; Premium Sound System; Lane Departure Warning,20.3,3524.0,75569.58,3.4
XX5CH9H8,Corolla,2019,Green,Chevrolet,Leather Seats; Navigation System; Lane Departure Warning,22.2,3676.9,28694.19,3.3
T7Y080EJ,Yaris,2019,Gray,Rolls-Royce,Leather Seats,17.8,2206.3,51061.59,3.9
4HF0TZMD,Bronco,2010,Red,Suzuki,Lane Departure Warning; Blind Spot Monitoring; Premium Sound System; Leather Seats; Navigation System; Bluetooth,24.3,3439.9,33662.96,4.0
BR58WKM0,Q7,2016,Green,Rolls-Royce,Leather Seats; Lane Departure Warning; Navigation System; Bluetooth; Sunroof; Adaptive Cruise Control; Blind Spot Monitoring; Premium Sound System; Backup Camera,23.1,2387.1,79697.45,4.3
UUXDJI8I,Camry,2016,Black,Chevrolet,Sunroof; Navigation System,17.6,3266.0,73591.19,3.4
YHCKJTNB,Pacifica,2018,Silver,Chevrolet,Navigation System; Leather Seats,27.7,1913.6,60903.63,3.0
3X2Q05CB,Yaris,2015,Blue,Rolls-Royce,Blind Spot Monitoring; Premium Sound System; Leather Seats,16.6,2189.0,78654.04,4.2
M3DN1E4O,A4,2022,Silver,Suzuki,Adaptive Cruise Control; Sunroof; Bluetooth; Lane Departure Warning; Premium Sound System,21.6,2302.0,63760.34,4.5
EJ9FU4IF,Explorer,2022,Gray,Mitsubishi,Adaptive Cruise Control; Blind Spot Monitoring; Sunroof; Navigation System; Bluetooth,20.1,3933.4,33582.11,3.9
C5VR3AIC,Odyssey,2017,Gray,BMW,Lane Departure Warning; Adaptive Cruise Control; Sunroof; Leather Seats; Backup Camera; Navigation System,27.7,4942.9,33964.92,3.1
82ES8SPH,Grand Cherokee,2016,Orange,Mitsubishi,Backup Camera; Navigation System; Leather Seats; Blind Spot Monitoring; Lane Departure Warning; Bluetooth; Sunroof,16.6,2375.6,62916.12,3.4
DB47TCAJ,Impreza,2019,Silver,Suzuki,Premium Sound System; Adaptive Cruise Control; Bluetooth; Navigation System; Sunroof; Leather Seats; Blind Spot Monitoring; Lane Departure Warning; Backup Camera,27.3,1852.5,71635.19,3.3
6J4AKLJH,Compass,2012,Blue,Suzuki,Leather Seats; Premium Sound System; Blind Spot Monitoring; Lane Departure Warning,20.0,3364.4,78681.39,3.8
T6RQOHLR,Tiguan,2018,Orange,Chevrolet,Lane Departure Warning; Blind Spot Monitoring; Adaptive Cruise Control; Navigation System; Backup Camera; Premium Sound System; Sunroof; Bluetooth; Leather Seats,24.7,1996.6,72580.68,4.8
URL4T8AV,Golf,2019,Silver,Rolls-Royce,Leather Seats,23.1,4642.6,65904.44,3.0
PLK5N3QS,E-Class,2013,Red,Rolls-Royce,Adaptive Cruise Control; Leather Seats; Navigation System,19.7,3141.4,22381.59,3.2
RGSO8CLW,Atlas,2015,Green,Suzuki,Sunroof; Leather Seats; Lane Departure Warning; Backup Camera; Navigation System; Adaptive Cruise Control; Premium Sound System,14.9,1363.2,69626.94,4.7
ZXD48VPE,Prius,2020,Yellow,Chevrolet,Navigation System; Leather Seats; Sunroof; Blind Spot Monitoring; Premium Sound System; Lane Departure Warning; Backup Camera; Adaptive Cruise Control,20.2,4224.6,70956.15,3.3
UQS8SDOD,Beetle,2011,Silver,BMW,Sunroof; Premium Sound System; Adaptive Cruise Control; Backup Camera; Leather Seats; Bluetooth,22.9,3930.1,47102.14,4.4
ZBHQ11NO,Tundra,2012,Red,Chevrolet,Lane Departure Warning; Blind Spot Monitoring; Navigation System,14.7,4997.8,58450.13,4.3
Q5PDGA6K,HR-V,2019,Silver,BMW,Blind Spot Monitoring,14.9,2696.7,59098.07,3.1
WB402EYJ,5 Series,2012,Black,Audi,Bluetooth; Backup Camera; Leather Seats; Lane Departure Warning; Navigation System; Sunroof; Blind Spot Monitoring; Adaptive Cruise Control; Premium Sound System,15.4,1788.1,66120.1,4.3
6TDUX0SB,Atlas,2017,Green,Chevrolet,Backup Camera; Leather Seats; Bluetooth; Navigation System,12.8,2471.6,46427.88,4.5
G3EXOQOC,Escape,2020,Black,Rolls-Royce,Bluetooth; Backup Camera; Premium Sound System,17.8,3043.5,66729.41,4.2
H8YQT1Z8,86,2013,Red,Rolls-Royce,Leather Seats,23.6,1449.1,63722.45,4.3
A2NOJ5LJ,A6,2011,Orange,BMW,Adaptive Cruise Control; Lane Departure Warning; Premium Sound System; Sunroof; Navigation System; Bluetooth; Blind Spot Monitoring; Leather Seats; Backup Camera,25.6,2434.7,73020.33,5.0
OWW92IHS,Challenger,2018,Yellow,Suzuki,Blind Spot Monitoring; Adaptive Cruise Control,28.3,1350.3,76615.92,4.6
QTJ8D9HO,Passat,2012,Yellow,Mitsubishi,Lane Departure Warning; Navigation System; Premium Sound System; Leather Seats; Backup Camera; Bluetooth; Adaptive Cruise Control; Blind Spot Monitoring; Sunroof,19.2,2439.7,28510.33,3.5
0ZONTX4N,Sportage,2019,Blue,Chevrolet,Adaptive Cruise Control; Bluetooth; Blind Spot Monitoring; Navigation System,26.6,1062.6,47182.16,3.4
57U635B6,Yaris,2019,Yellow,Rolls-Royce,Backup Camera; Navigation System,17.8,2959.5,20175.49,4.6
JIBXFTF1,GLC,2016,Black,Mitsubishi,Blind Spot Monitoring; Sunroof; Lane Departure Warning; Adaptive Cruise Control; Bluetooth; Navigation System; Leather Seats; Premium Sound System; Backup Camera,22.5,3625.7,39148.36,4.1
DC8TY8OY,Maxima,2011,Yellow,Rolls-Royce,Blind Spot Monitoring; Backup Camera; Navigation System,10.3,2822.9,64110.19,4.3
8X31HQO3,CX-5,2013,White,Suzuki,Backup Camera; Sunroof; Adaptive Cruise Control,15.8,1235.7,37787.55,4.5
61RMHBMF,X5,2018,Gray,Rolls-Royce,Backup Camera; Navigation System; Blind Spot Monitoring; Leather Seats,17.4,4146.1,46246.22,3.3
HXICRVYW,5 Series,2015,Gray,Mitsubishi,Lane Departure Warning,11.1,3397.2,21744.41,3.7
CHOFHUAF,Sienna,2019,Yellow,Audi,Adaptive Cruise Control; Bluetooth; Backup Camera; Blind Spot Monitoring; Sunroof,28.4,3432.6,26770.09,4.7
WVECF4GT,Insight,2016,White,BMW,Backup Camera; Sunroof; Blind Spot Monitoring,22.6,3262.3,50524.59,3.6
19SQLX5U,Tacoma,2021,Black,Chevrolet,Blind Spot Monitoring; Premium Sound System; Backup Camera; Leather Seats; Bluetooth; Adaptive Cruise Control; Navigation System,11.5,3290.8,37401.94,3.3
ORT7DSM5,Ascent,2012,Green,Chevrolet,Navigation System; Blind Spot Monitoring; Sunroof,26.6,3072.9,28338.01,3.1
3KQB54IB,Tundra,2016,Green,Suzuki,Premium Sound System; Navigation System; Adaptive Cruise Control; Bluetooth; Lane Departure Warning; Sunroof; Leather Seats; Blind Spot Monitoring; Backup Camera,26.4,4959.8,56545.08,3.8
UJCKH28O,Challenger,2016,Green,Suzuki,Premium Sound System; Sunroof; Backup Camera; Navigation System; Bluetooth,20.7,4666.7,31754.66,3.9
GBZV7W44,Ridgeline,2011,Orange,Audi,Premium Sound System; Backup Camera; Adaptive Cruise Control; Navigation System; Leather Seats; Bluetooth; Sunroof; Blind Spot Monitoring; Lane Departure Warning,14.0,3630.0,68585.15,4.7
52VE0CZA,F-250,2011,Red,BMW,Navigation System; Premium Sound System; Leather Seats; Blind Spot Monitoring; Lane Departure Warning,10.5,4944.0,38528.23,4.9
ZZOXCQGQ,X3,2018,White,Mitsubishi,Premium Sound System; Backup Camera,18.4,1002.9,67135.41,4.1
VAA2QEKX,Model S,2012,Green,Suzuki,Leather Seats; Blind Spot Monitoring; Sunroof,21.8,3621.1,45822.33,4.7
5THNQSYD,Wrangler,2011,Blue,Suzuki,Lane Departure Warning; Backup Camera; Adaptive Cruise Control; Sunroof,14.2,4901.1,58559.18,4.0
XUQF2R0S,Legacy,2017,Silver,Rolls-Royce,Lane Departure Warning; Bluetooth; Navigation System; Blind Spot Monitoring; Premium Sound System; Leather Seats; Backup Camera; Adaptive Cruise Control; Sunroof,20.6,3422.4,52754.22,3.9
Z25ZDHAG,Mustang,2012,Red,Mitsubishi,Navigation System; Lane Departure Warning; Adaptive Cruise Control; Premium Sound System; Backup Camera; Leather Seats,12.2,3923.9,78375.88,4.2
2ZWT6T03,Impreza,2015,White,Chevrolet,Backup Camera; Sunroof; Navigation System; Bluetooth; Leather Seats; Premium Sound System; Lane Departure Warning,15.1,3390.1,69995.45,3.1
4QUHIEZE,Tacoma,2011,White,Chevrolet,Bluetooth; Blind Spot Monitoring; Navigation System,28.6,1850.2,57656.11,4.1
ZJ69ALYQ,Stinger,2011,White,Suzuki,Bluetooth,27.4,1532.5,27893.22,3.6
U0CJDXIZ,E-Class,2014,White,Rolls-Royce,Leather Seats; Bluetooth; Navigation System; Blind Spot Monitoring; Backup Camera; Adaptive Cruise Control; Sunroof,13.6,2737.3,72727.27,3.5
J3E3EXMR,Passat,2012,Yellow,BMW,Backup Camera; Navigation System; Bluetooth; Adaptive Cruise Control,20.4,2375.6,32004.57,4.2
KSPO6MTK,Compass,2010,Silver,BMW,Leather Seats; Adaptive Cruise Control,20.8,2686.4,50982.26,3.4
OBPFK3V0,Passat,2015,Red,Chevrolet,Lane Departure Warning; Sunroof; Navigation System; Adaptive Cruise Control,28.0,2519.6,50771.73,5.0
A3F8JNCI,Ranger,2011,Blue,BMW,Premium Sound System; Navigation System; Blind Spot Monitoring; Sunroof; Lane Departure Warning; Leather Seats,13.5,2627.9,58425.94,4.3
XYTRCZCW,Ridgeline,2021,Blue,Audi,Sunroof; Leather Seats; Bluetooth; Backup Camera; Lane Departure Warning; Premium Sound System,24.3,3264.9,22497.38,4.4
N7WYQFS1,CR-V,2015,Gray,BMW,Lane Departure Warning; Leather Seats; Navigation System,27.3,3494.5,62487.96,4.1
0OBQZJRI,Renegade,2019,Black,BMW,Premium Sound System; Blind Spot Monitoring,14.3,1553.3,62117.12,4.0
99W9MLQU,Mustang,2018,Orange,Suzuki,Adaptive Cruise Control; Navigation System; Lane Departure Warning,27.0,1939.0,20881.4,4.7
Z617ZDSH,Ascent,2020,Orange,Mitsubishi,Bluetooth; Leather Seats; Lane Departure Warning; Premium Sound System; Navigation System; Sunroof,14.4,1164.7,33524.26,3.1
SK53CUIS,Land Cruiser,2011,Gray,Suzuki,Bluetooth; Sunroof; Lane Departure Warning; Leather Seats; Navigation System; Adaptive Cruise Control; Blind Spot Monitoring; Backup Camera; Premium Sound System,11.5,2305.0,26155.42,3.7
R87KBGL5,Golf,2022,Yellow,Audi,Blind Spot Monitoring; Premium Sound System; Lane Departure Warning,29.3,4262.7,36381.9,3.2
9CMZ9SD9,Golf,2021,Silver,Chevrolet,Navigation System; Premium Sound System; Blind Spot Monitoring; Adaptive Cruise Control; Lane Departure Warning; Backup Camera; Leather Seats,21.8,1901.2,59023.6,3.7
